City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
60,Port Hardy,CA,2023-01-30 01:45:04,50.6996,-127.4199,30.38,93,20,2.3,Clouds
61,Touros,BR,2023-01-30 01:42:17,-5.1989,-35.4608,79.63,71,12,13.22,Clouds
62,Hilo,US,2023-01-30 01:43:34,19.7297,-155.09,72.28,88,20,1.01,Rain
63,Coquimbo,CL,2023-01-30 01:44:50,-29.9533,-71.3436,62.33,88,0,8.05,Clear
64,Puerto Ayora,EC,2023-01-30 01:42:07,-0.7393,-90.3518,77.56,95,87,3.04,Clouds
65,Torbay,CA,2023-01-30 01:51:45,47.6666,-52.7314,27.57,70,20,8.05,Clouds
66,Tsaratanana,MG,2023-01-30 01:51:46,-16.7833,47.65,72.68,94,89,0.89,Clouds
67,Nuuk,GL,2023-01-30 01:51:47,64.1835,-51.7216,25.2,69,100,11.25,Clouds
68,Yenangyaung,MM,2023-01-30 01:51:47,20.4667,94.8833,74.48,50,0,2.91,Clear
69,Ushuaia,AR,2023-01-30 01:41:56,-54.8,-68.3,49.66,66,20,10.36,Clouds
70,Makakilo City,US,2023-01-30 01:51:49,21.3469,-158.0858,71.92,77,75,11.5,Rain
71,Morant Bay,JM,2023-01-30 01:47:14,17.8815,-76.4093,80.22,78,6,9.24,Clear
72,Ostrovnoy,RU,2023-01-30 01:51:50,68.0531,39.5131,25.86,89,100,22.64,Clouds
73,Dunedin,NZ,2023-01-30 01:51:51,-45.8742,170.5036,68.2,63,84,7.81,Clouds
74,Muravlenko,RU,2023-01-30 01:51:51,63.7898,74.523,-17.72,99,86,8.88,Clouds
75,Sola,VU,2023-01-30 01:51:52,-13.8833,167.55,80.87,78,100,14.99,Rain
76,Kedrovyy,RU,2023-01-30 01:51:53,56.1667,91.8167,12.87,93,100,13.13,Snow
77,Esperance,AU,2023-01-30 01:42:08,-33.8667,121.9,76.69,43,3,0.65,Clear
78,Port Lincoln,AU,2023-01-30 01:51:54,-34.7333,135.8667,66.94,60,32,12.46,Clouds
79,Upernavik,GL,2023-01-30 01:46:44,72.7868,-56.1549,-2.99,66,85,6.17,Clouds
80,Barrow,US,2023-01-30 01:43:36,71.2906,-156.7887,-5.78,84,100,11.5,Clouds
81,Albany,US,2023-01-30 01:42:01,42.6001,-73.9662,43.66,72,100,1.99,Clouds
82,Nikolskoye,RU,2023-01-30 01:45:09,59.7035,30.7861,31.91,96,100,12.88,Snow
83,Pozoblanco,ES,2023-01-30 01:51:56,38.3791,-4.8483,29.25,76,1,3.06,Clear
84,Atuona,PF,2023-01-30 01:43:45,-9.8,-139.0333,79.11,77,15,17.45,Rain
85,Kahului,US,2023-01-30 01:51:57,20.8947,-156.47,74.84,78,40,9.22,Rain
86,Cherskiy,RU,2023-01-30 01:51:58,68.75,161.3,1.42,89,100,6.06,Clouds
87,Hobart,AU,2023-01-30 01:39:44,-42.8794,147.3294,77.05,49,40,5.75,Clouds
88,Geraldton,AU,2023-01-30 01:49:28,-28.7667,114.6,95.41,36,0,12.66,Clear
89,Saskylakh,RU,2023-01-30 01:46:39,71.9167,114.0833,-40.41,99,73,5.06,Clouds
90,Komsomolskiy,UZ,2023-01-30 01:52:00,40.4272,71.7189,29.12,80,100,0.0,Mist
91,Plum,US,2023-01-30 01:52:01,40.5004,-79.7495,43.39,84,100,4.0,Clouds
92,Sechura,PE,2023-01-30 01:52:01,-5.5569,-80.8222,74.59,68,6,13.0,Clear
93,Ambilobe,MG,2023-01-30 01:52:03,-13.2,49.05,74.14,93,63,0.67,Clouds
94,Hohhot,CN,2023-01-30 01:53:03,40.8106,111.6522,8.89,66,0,4.47,Clear
95,Coxim,BR,2023-01-30 01:53:04,-18.5067,-54.76,75.25,82,90,2.59,Clouds
